"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-30",,"46","31",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-31",,"57","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-01",,"72","51","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-02",,"51","40",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-03",,"59","39",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-04",,"73","48",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-05",,"57","46","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-06",,"80","47","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-07",,"60","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-08",,"54","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-09",,"57","40",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-10",,"68","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-11",,"75","51",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-12",,"84","64",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-13",,"90","67",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-14",,"91","70",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-15",,"75","59","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-16",,"71","57","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-17",,"68","53","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-18",,"57","45",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-19",,"64","45",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-20",,"66","45",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-21",,"71","51",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-22",,"67","51","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-23",,"69","50","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-24",,"62","44",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-25",,"60","46",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-26",,"60","46",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-27",,"57","49",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-28",,"56","47","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-29",,"53","47","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-04-30",,"60","50","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-01",,"61","49","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-02",,"56","44","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-03",,"57","47",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-04",,"55","48","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-05",,"66","48","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-06",,"73","48",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-07",,"78","54",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-08",,"77","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-09",,"71","54",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-05-10",,"73","50",,,,,,
